,title,author,city,country,page,city_country,city_location,country_location,city_country_location,best_location,lat,lon,address
482,Aangan,Khadija Mastoor,,Pakistan,Aangan (novel),,,,,,,,
487,Baltasar and Blimunda,José Saramago,,Portugal,Baltasar and Blimunda,,,,,,,,
495,The Pickup,Nadine Gordimer,,South Africa,The Pickup,,,,,,,,
501,The Vivisector,Patrick White,,Australia,The Vivisector,,,,,,,,
503,The Chant of Jimmie Blacksmith,Thomas Keneally,,Australia,The Chant of Jimmie Blacksmith,,,,,,,,
505,The Ghost Road,Pat Barker,,Melanesia,The Ghost Road,,,,,,,,
508,The Death of Crispin Dingle,Peter Carey,,Australia,Remembering Babylon,,,,,,,,
515,This Earth of Mankind,Pramoedya Ananta Toer,,Indonesia,Bumi Manusia,,,,,,,,
540,Season of the Jew,Maurice Shadbolt,,New Zealand,Season of the Jew,,,,,,,,
546,Texas,James Michener,,United States,Texas (novel),,,,,,,,
551,Santa Evita,Tomás Eloy Martínez,,Argentina,Santa Evita,,,,,,,,
568,Imperial Woman,Pearl S. Buck,,China,Imperial Woman,,,,,,,,
569,Vengeance,George Jonas,,Israel,Vengeance (Jonas book),,,,,,,,
575,The Restraint of Beasts,Magnus Mills,,Scotland,The Restraint of Beasts,,,,,,,,
576,The Black Coat,,,Bangladesh,The Black Coat,,,,,,,,
578,The Luminaries,Eleanor Catton,,New Zealand,The Luminaries,,,,,,,,
592,Caballero: A Historical Novel,Jovita González and Eve Raleigh,,Mexico,Caballero: A Historical Novel,,,,,,,,
593,The Sorrow of War,Bảo Ninh,,Vietnam,The Sorrow of War,,,,,,,,
598,The Long Song,Andrea Levy,,Jamaica,The Long Song,,,,,,,,
599,The Conservationist,Nadine Gordimer,,South Africa,The Conservationist,,,,,,,,
602,Sixty Lights,Gail Jones,,Australia,Sixty Lights,,,,,,,,
604,The Long Take,Robin Robertson,,United States,The Long Take,,,,,,,,
606,the bone people,Keri Hulme,,New Zealand,The Bone People,,,,,,,,
626,The Little Stranger,Sarah Waters,,United Kingdom,The Little Stranger,,,,,,,,
631,The Testaments,Margaret Atwood,,Canada,The Testaments,,,,,,,,
634,Skios,Michael Frayn,,Greece,Skios,,,,,,,,
637,Katherine,Anya Seton,,England,Katherine (Seton novel),,,,,,,,
639,La vida y hechos de Estebanillo González,Unknown,,Spain,Estebanillo González,,,,,,,,
642,What's Bred in the Bone,Robertson Davies,,Canada,What's Bred in the Bone,,,,,,,,
646,The Wake,Paul Kingsnorth,,England,The Wake (novel),,,,,,,,
650,Bring Up the Bodies,Hilary Mantel,,England,Bring Up the Bodies,,,,,,,,
651,Under the Frog,Tibor Fischer,,Hungary,Under the Frog,,,,,,,,
654,Lost Children Archive,Valeria Luiselli,,U.S.,Lost Children Archive,,,,,,,,
663,From Scenes Like These,Gordon Williams,,Scotland,From Scenes Like These,,,,,,,,
672,Aag Ka Darya,Qurratulain Hyder,,India,Aag Ka Darya,,,,,,,,
675,The Kingdom of This World,Alejo Carpentier,,Haiti,The Kingdom of This World,,,,,,,,
1,The Mars Room,Rachel Kushner,San Francisco,United States,The Mars Room,"San Francisco, United States","San Francisco, California, United States",United States,"San Francisco, California, United States","San Francisco, California, United States",37.7792588,-122.4193286,"San Francisco, California, United States"
2,The Missing Italian Girl,Barbara Corrado Pope,Paris,France,The Missing Italian Girl,"Paris, France","Paris, Île-de-France, France métropolitaine, France",France,"Paris, Île-de-France, France métropolitaine, France","Paris, Île-de-France, France métropolitaine, France",48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
4,Brazil Red,Jean-Christophe Rufin,Rio de Janeiro,Brazil,Brazil Red,"Rio de Janeiro, Brazil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",Brasil,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",-22.9110137,-43.2093727,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil"
5,New York: A Novel,Edward Rutherfurd,New York City,United States,New York (novel),"New York City, United States","City of New York, New York, United States",United States,"City of New York, New York, United States","City of New York, New York, United States",40.7127281,-74.0060152,"City of New York, New York, United States"
7,According to Mark,Penelope Lively,London,England,According to Mark,"London, England","London, Greater London, England, United Kingdom","England, United Kingdom","London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
8,Briefing for a Descent into Hell,Doris Lessing,London,United Kingdom,Briefing for a Descent into Hell,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
9,Alaska,James Michener,Nome,United States,Alaska (novel),"Nome, United States","Nome, Unorganized Borough, Alaska, United States",United States,"Nome, Unorganized Borough, Alaska, United States","Nome, Unorganized Borough, Alaska, United States",64.51282,-165.4242538141349,"Nome, Unorganized Borough, Alaska, United States"
11,Mrs. Eckdorf in O'Neill's Hotel,William Trevor,Dublin,Ireland,Mrs Eckdorf in O'Neill's Hotel,"Dublin, Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",Éire / Ireland,"Dublin, County Dublin, Leinster, Éire / Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
13,St. Urbain's Horseman,Mordecai Richler,London and Montreal,Canada,St. Urbain's Horseman,"London and Montreal, Canada",,Canada,,Canada,61.0666922,-107.991707,Canada
19,Empress,Shan Sa,Beijing,China,Empress (novel),"Beijing, China","北京市, 中国",中国,"北京市, 中国","北京市, 中国",40.190632,116.412144,"北京市, 中国"
21,The Playmaker,Thomas Keneally,Sydney Cove,Australia,The Playmaker,"Sydney Cove, Australia","Sydney Cove, Quay Quarter, Sydney, New South Wales, 2000, Australia",Australia,"Sydney Cove, Quay Quarter, Sydney, New South Wales, 2000, Australia","Sydney Cove, Quay Quarter, Sydney, New South Wales, 2000, Australia",-33.85808355,151.2121015347458,"Sydney Cove, Quay Quarter, Sydney, New South Wales, 2000, Australia"
22,Noble House,James Clavell,Hong Kong,Hong Kong (British Crown Colony),Noble House (book),"Hong Kong, Hong Kong (British Crown Colony)","香港 Hong Kong, 中国",,,"香港 Hong Kong, 中国",22.350627,114.1849161,"香港 Hong Kong, 中国"
24,The Rover,Joseph Conrad,Hyères,France,The Rover (novel),"Hyères, France","Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France",France,"Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France","Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France",43.1202573,6.1301614,"Hyères, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83400, France"
26,The Emigrants,Vilhelm Moberg,Karlshamn,Sweden,The Emigrants (novels),"Karlshamn, Sweden","Karlshamn, Karlshamns kommun, Blekinge län, 374 36, Sverige",Sverige,"Karlshamns kommun, Blekinge län, Sverige","Karlshamns kommun, Blekinge län, Sverige",56.25,14.866667,"Karlshamns kommun, Blekinge län, Sverige"
28,Martin Dressler: The Tale of an American Dreamer,Steven Millhauser,New York City,United States,Martin Dressler: The Tale of an American Dreamer,"New York City, United States","City of New York, New York, United States",United States,"City of New York, New York, United States","City of New York, New York, United States",40.7127281,-74.0060152,"City of New York, New York, United States"
30,Love and Summer,William Trevor,Rathmoye,Ireland,Love and Summer,"Rathmoye, Ireland",,Éire / Ireland,,Éire / Ireland,52.865196,-7.9794599,Éire / Ireland
32,La regenta,"Leopoldo Alas, also known as Clarín",Vetusta,Spain,La regenta,"Vetusta, Spain","Vetusta, Calle Jovellanos, Colonia Marqués de San Feliz, Casco Antiguo, Centro y casco histórico, Oviedo, Asturias / Asturies, 33080, España",España,"Vetusta, Calle Vetusta, Fozaneldi, San Lázaro y Otero, Oviedo, 33010, España","Vetusta, Calle Vetusta, Fozaneldi, San Lázaro y Otero, Oviedo, 33010, España",43.3613944,-5.8323669,"Vetusta, Calle Vetusta, Fozaneldi, San Lázaro y Otero, Oviedo, 33010, España"
34,The Faithful River,Stefan Żeromski,Warsaw,Poland,The Faithful River,"Warsaw, Poland","Warszawa, województwo mazowieckie, Polska",Polska,"Warszawa, województwo mazowieckie, Polska","Warszawa, województwo mazowieckie, Polska",52.2337172,21.071432235636493,"Warszawa, województwo mazowieckie, Polska"
37,Troubles,J. G. Farrell,Kilnalough (fictional),Ireland,Troubles (novel),"Kilnalough (fictional), Ireland",,Éire / Ireland,,Éire / Ireland,52.865196,-7.9794599,Éire / Ireland
39,El Buscón,,Toledo,Spain,El Buscón,"Toledo, Spain","Toledo, Castilla-La Mancha, España",España,"Toledo, Castilla-La Mancha, España","Toledo, Castilla-La Mancha, España",39.8560679,-4.0239568,"Toledo, Castilla-La Mancha, España"
