,address,lat,lon,titles
241,"Tenochtitlan, Durango, Municipio de Durango, Durango, 34234, Mexico",24.0769214,-104.5843863,"Dark Cloud
Dark Cloud"
242,"Tokyo, Japan",35.6821936,139.762221,A Tale for the Time Being
243,"Toledo, Castile-La Mancha, Spain",39.8560679,-4.0239568,"El Buscón
Lazarillo de Tormes
The Pillars of the Earth"
244,"Toledo, San Juan del Río, Durango, 34480, Mexico",24.8007984,-104.4644063,Mexico
245,"Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347,In the Skin of a Lion
246,"Travancore Medical College Hospital, Salem - Kochi - Kanyakumari Road, Mevaram, Kollam, Kerala, 691589, India",8.875029699999999,76.64485857994526,Marthandavarma
247,"Travancore Titanium Products (TTP), ISRO Road Near Kochuveli Railway Station, Balanagar, Kochuveli, Thiruvananthapuram, Kerala, Vettukadu, Thiruvananthapuram, Kerala, 695021, India",8.4998069,76.89963982164869,Marthandavarma
248,"Tripoli, Libya",32.896672,13.1777923,In the Country of Men
249,"Turku, Turku sub-region, Southwest Finland, South-Western Finland, Mainland Finland, Finland",60.4517531,22.2670522,The Adventurer
250,"U&S, 61, Bahnhofstraße, Wiesenviertel, Witten-Mitte, Witten, Ennepe-Ruhr-Kreis, North Rhine-Westphalia, 58452, Germany",51.4376108,7.3303862,Lost Children Archive
251,"Umuahia, Umuahia North, Abia State, Nigeria",5.5324032,7.4924165,An Orchestra of Minorities
252,United Kingdom,54.7023545,-3.2765753,"The Curious Incident of the Dog in the Night-Time
The Remains of the Day
If Nobody Speaks of Remarkable Things
The Year of the Runaways
The Little Stranger"
253,United States,39.7837304,-100.445882,"True Women
The Turquoise
The March: A Novel
Cold Mountain
If I Survive You
The Red Badge of Courage
The Fort
My Theodosia
The Known World
Babouk
Texas
The Long Take"
254,"Upper Canada, Hutton, North Somerset, England, BS24 9UT, United Kingdom",51.3199525,-2.9162048,Alias Grace
255,"Valladolid, Castile and León, Spain",41.6521807,-4.728605,The Heretic: A Novel of the Inquisition
256,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.113952,"All That Matters
The Jade Peony"
257,"Venice, Calle Cervantes, Huerta del Rey, Tarifa, Campo de Gibraltar, Cádiz, Andalusia, 11380, Spain",36.0126747,-5.6035962,El Sol de Breda
258,"Venice, Venezia, Veneto, 30121-30176, Italy",45.4371908,12.3345898,"The Journeyer
The Comfort of Strangers"
259,"Vetusta, Calle Vetusta, Fozaneldi, San Lázaro y Otero, Oviedo, 33010, Spain",43.3613944,-5.8323669,La regenta
260,"Vienna, Austria",48.2083537,16.3725042,The Man Without Qualities
261,Vietnam,15.9266657,107.9650855,"The Lotus Eaters
The Sorrow of War"
262,"Virginia, United States",37.1232245,-78.4927721,"The History of Henry Esmond
The Known World"
263,"Višegrad, Visegrad municipality, Republika Srpska, 73240, Bosnia and Herzegovina",43.7864291,19.294097,The Bridge on the Drina
264,"Volgograd, Volgograd Oblast, Southern Federal District, 400066, Russia",48.7081906,44.5153353,Life and Fate
265,"Wales, United Kingdom",52.2928116,-3.73893,"The Old Devils
Here Be Dragons"
266,"Warsaw, Masovian Voivodeship, Poland",52.2337172,21.071432235636493,"The Faithful River
Push Not the River
Kamienie na szaniec
The Warsaw Anagrams
Thaddeus of Warsaw"
267,"Washington, District of Columbia, United States",38.8950368,-77.0365427,"Unburnable
Lincoln"
268,"West Africa, Rue d'Auxonne, Faubourg Saint-Pierre, Université, Dijon, Côte-d'Or, Bourgogne – Franche-Comté, Metropolitan France, 21000, France",47.3138746,5.0488196,Anthills of the Savannah
269,"Wigton, Cumberland, England, United Kingdom",54.8246802,-3.1610942,A Place in England
270,"Windsor Castle, Thames Street, Clewer New Town, Clewer Village, Windsor, Royal Borough of Windsor and Maidenhead, England, SL4 1PR, United Kingdom",51.4837886,-0.6040418665032687,The Bottle Factory Outing
271,"Woodstock, McHenry County, Illinois, 60098, United States",42.3147529,-88.4474302,Woodstock
272,"York, England, United Kingdom",53.96565785,-1.0743052444639218,Kay the Left-Handed
273,Zimbabwe,-18.4554963,29.7468414,We Need New Names
274,"pankot, Govindpur, Almora, Uttarakhand, 263655, India",29.6917809,79.5766783,Staying On
275,"東京湾, Kawasaki Ward, Kawasaki, Kanagawa Prefecture, Japan",35.4169,139.771,Silk
